Picture,ItemNo,alu,ItemName,Attribute,Size,DepartmentName,Vendor,unit,Qty,Cost,RegularPrice,ItemDescription
img/5809.jpg,5809,A8905-6-BK+BR,Hanging Chandelier Alite 8905-6,BK+BR,6Way,LigFix:Pen: Chandelier,AL KAUSER ELECTRICAL EQUIPMENT (L.L.C),Pcs,0,132,396,"Hanging Chandelier Alite A8905-6 6Way With E27 Holder Base Meroon Color Wood & Rope.
 Location= 1B09"
img/5810.jpg,5810,A3802-8Way-BR&BK,Hanging Chandelier Alite 3802-8,BK+BR,8Way,LigFix:Pen: Chandelier,AL KAUSER ELECTRICAL EQUIPMENT (L.L.C),Pcs,0,132,396,"Hanging Chandelier Alite With E27 Holder Base. A3502-8 8Way Black +Brown Color. Steel+ Rope.
 Location= 3A10"
img/5811.jpg,5811,A5206-9Way-BR&BK,Hanging Chandelier Alite 5206-9,BK+BR,9Way,LigFix:Pen: Chandelier,AL KAUSER ELECTRICAL EQUIPMENT (L.L.C),Pcs,2,158,474,"Hanging Chandelier Alite With E27 Holder Base. A5206-9 9Way Black +Brown Color. Steel+ Rope.
 Location = 2/4C03, Showroom"
img/5812.jpg,5812,CDV-70N2-DRC-40K,Video Door Phone Commax Color,White,,Oth: Door Phone,AL-MASHRIQ MARKETING & SERVICE,Pcs,0,520,1560,"Commax Color Video Door Phone Without Camara. CDV-70N2-DRC-40K ( 5635 2879 ) (Price For Complete Set)
 Location = 1/2A02"
img/5813.jpg,5813,EC-P4191SCBM,Fused Unit With Neon 13A Hanlig,SC & BK,3x3,Swi&Soc: Socket,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,52,11,33,"Fused ( Spare ) Unit With Neon HAILER & HANLIGHT 13A 3x3 CHROME COLOUR ( 4217 )
 Location = G/1B05"
img/5814.jpg,5814,SPR-C7-E14-DL,Candle Lamp LED COEE E14 5W DL,DL,5W,LigAcc:Lam: LED,TERSEN TRADING CO. (L.L.C),Pcs,0,3,9,"Candle Lamp LED SMD COEE Non Dimmable(High Brightness) E14 5W AC 220-240V 100Lm/W 50Hz IP20 Day Light 6500K
 Location ="
img/5815.jpg,5815,SPR-C7-E14-WW,Candle Lamp LED COEE E14 5W WW,WW,5W,LigAcc:Lam: LED,CITY OASIS ELECTRICAL EQUIPMENT (L.L.C),Pcs,250,3,9,"Candle Lamp LED SMD COEE Non Dimmable(High Brightness) E14 33D 5W AC 220-240V 100Lm/W 50Hz IP20 Warm White 2800K-3000K
 Location = G/4K03"
img/5816.jpg,5816,T30-E27-6W-AM-WW,MH Lamp LED Filament E27 6W,WW .,6W,LigAcc:Lam: Metal Halide,CITY OASIS ELECTRICAL EQUIPMENT (L.L.C),Pcs,121,8.75,27,"Metal Halide Lamp 6W LED Filament Type E27 Holder Amber Glass Warm White Color.
 Location = G/4K03"
img/5817.jpg,5817,T30-E27-7W-AM-WW,MH Lamp LED Filament E27 7W,WW .,7W,LigAcc:Lam: Metal Halide,CITY OASIS ELECTRICAL EQUIPMENT (L.L.C),Pcs,150,9.75,30,"Metal Halide Lamp 7W LED Filament Type E27 Holder Amber Glass Warm White Color.
 Location = G/4L02"
img/5818.jpg,5818,YB-D-6707-GU10-BK,Garden Light GU10 YBD 6707,Black,1Way,LigFix:Out:Lan: Floor,GODN INDUSTRIAL EQUIPMENT FZCO,Pcs,212,24,72,"Garden Light GU10 Base With Cap COEE. IP65 (YBD-6707) Material: Die-cast Aluminum, Glass. 220-240V 50-60HZ, Max Power 50W. 175x150mm Black Color Body ( Wall Type ). 5948 5928 5819 5976 5977
 Location = G/2C01"
img/5819.jpg,5819,YB-D-6707-GU10-Grey,Garden Light COEE GU10 YBD 6707,Grey,1Way,LigFix:Out:Lan: Floor,CITY OASIS ELECTRICAL EQUIPMENT (L.L.C),Pcs,0,19,57,"Garden Light GU10 Base With Cap COEE. IP65 (YBD-6707) Material: Die-cast Aluminum, Glass. 220-240V 50-60HZ, Max Power 50W. 175x150mm Grey Color Body ( Wall Type ). 5948 5928 5818 5976 5977 
 Location = 4C01"
img/5820.jpg,5820,EC-P4191BSBM,Fused Unit With Neon 13A Hanlig,BS & BK,3x3,Swi&Soc: Socket,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,0,11,33,"Fused ( Spare ) Unit With Neon HAILER & HANLIGHT 13A 3x3 BRUSHED STEEL ( 4217 )
 Location = G/1B05"
img/5821.jpg,5821,EC-P4191ABBM,Fused Unit With Neon 13A Hanlig,AG & BK,3x3,Swi&Soc: Socket,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,56,11,33,"Fused ( Spare ) Unit With Neon HAILER & HANLIGHT 13A FUSE 3x3 ANTIQUE GOLD Black Insert 
 Location = G/1B05"
